H(m)          P(na)          T(N)
1.485          0.244            0.215
1.585          0.516            0.484
1.685          0.788            0.786
1.785          1.059            1.120
1.885          1.331            1.485
1.985          1.603            1.883
2.085          1.874            2.314
2.185          2.146            2.776
2.285          2.418            3.270
2.385          2.689            3.797
2.485          2.961            4.356
2.585          3.232            4.947
2.685          3.504            5.570
2.785          3.776            6.225
2.885          4.047            6.912
2.985          4.319            7.632
3.085          4.590            8.383
3.185          4.862            9.167
3.285          5.133            9.983
3.385          5.405            10.831
3.485          5.677            11.711
3.585          5.948            12.623
3.685          6.220            13.568
3.785          6.491            14.544
3.885          6.763            15.553
3.985          7.034            16.594
4.085          7.306            17.667
4.185          7.577            18.772
4.285          7.849            19.909
4.385          8.120            21.078
4.485          8.392            22.280
4.585          8.663            23.513
4.685          8.935            24.779
4.785          9.206            26.077
4.885          9.478            27.407
4.985          9.749            28.769
5.085          10.021            30.163
5.185          10.292            31.590
5.285          10.564            33.048
5.385          10.835            34.539
5.485          11.107            36.061
5.585          11.378            37.616
5.685          11.650            39.203
5.785          11.921            40.822
5.885          12.192            42.473
5.985          12.464            44.156
6.085          12.735            45.872
6.185          13.007            47.619
6.285          13.278            49.399
6.385          13.549            51.211
6.485          13.821            53.054
6.585          14.092            54.930
6.685          14.364            56.838
6.785          14.635            58.779
6.885          14.906            60.751
6.985          15.178            62.755
7.085          15.449            64.792
7.185          15.721            66.860
7.285          15.992            68.961
7.385          16.263            71.094
7.485          16.535            73.258
7.585          16.806            75.448
7.685          17.077            77.624
7.785          17.349            79.781
7.885          17.620            81.918
7.985          17.891            84.035
8.085          18.163            86.131
8.185          18.434            88.204
8.285          18.705            90.256
8.385          18.976            92.283
8.485          19.248            94.286
8.585          19.519            96.264
8.685          19.790            98.216
8.785          20.062            100.140
8.885          20.333            102.036
8.985          20.604            103.903
9.085          20.875            105.740
9.185          21.147            107.545
9.285          21.418            109.317
9.385          21.689            111.055
9.485          21.960            112.758
9.585          22.232            114.425
9.685          22.503            116.055
9.785          22.774            117.645
9.885          23.045            119.195
9.985          23.317            120.704
10.085          23.588            122.169
10.185          23.859            123.589
10.285          24.130            124.963
10.385          24.401            126.289
10.485          24.673            127.566
10.585          24.944            128.792
10.685          25.215            129.964
10.785          25.486            131.082
10.885          25.757            132.143
10.985          26.028            133.145
11.085          26.300            134.086
11.185          26.571            134.964
11.285          26.842            135.777
11.385          27.113            136.522
11.485          27.384            137.197
11.585          27.655            137.800
11.685          27.926            138.327
11.785          28.198            138.776
11.885          28.469            139.143
11.985          28.740            139.426
12.085          29.011            139.621
12.185          29.282            139.724
12.285          29.553            139.733
12.385          29.824            139.642
12.485          30.095            139.447
12.585          30.366            139.144
12.685          30.638            138.728
12.785          30.909            138.192
12.885          31.180            137.533
12.985          31.451            136.742
13.085          31.722            135.814
13.185          31.993            134.740
13.285          32.264            133.512
13.385          32.535            132.121
13.485          32.806            130.557
13.585          33.077            128.807
13.685          33.348            126.860
13.785          33.619            124.700
13.885          33.890            122.310
13.985          34.161            119.671
14.085          34.432            116.758
14.185          34.703            113.546
14.285          34.974            110.001
14.385          35.245            106.083
14.485          35.516            101.740
14.585          35.787            96.909
14.685          36.058            91.503
14.785          36.329            85.405
14.885          36.600            78.442
14.985          36.871            70.348
15.085          37.142            60.657
15.185          37.413            48.405
15.285          37.684            30.633
15.385          37.955            0.000
